"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"86",NA,"Yes","2023-02-02","07:00:00","2023-02-02","09:00:00",120,"Code,Python",NA,2023-02-02 07:00:00,2023-02-02 09:00:00,"Data Explore/Visualisation"
"87",NA,"Yes","2023-02-02","09:00:00","2023-02-02","10:00:00",60,"Business Strategy,Meetings,Project Management",NA,2023-02-02 09:00:00,2023-02-02 10:00:00,"Prod Manage"
"88",NA,"Yes","2023-02-02","09:00:00","2023-02-02","10:00:00",60,"Business Strategy,Meetings,Project Management",NA,2023-02-02 09:00:00,2023-02-02 10:00:00,"Prod Manage"
"89",NA,"Yes","2023-02-02","09:00:00","2023-02-02","10:00:00",60,"Business Strategy,Meetings,Project Management",NA,2023-02-02 09:00:00,2023-02-02 10:00:00,"Proj Manage"
"90",NA,"Yes","2023-02-02","10:00:00","2023-02-02","12:00:00",120,"Code,Python",NA,2023-02-02 10:00:00,2023-02-02 12:00:00,"AI / Deep Learning"
"91",NA,"Yes","2023-02-02","10:00:00","2023-02-02","12:00:00",120,"Code,Python",NA,2023-02-02 10:00:00,2023-02-02 12:00:00,"Data Explore/Visualisation"
"92",NA,"Yes","2023-02-02","13:00:00","2023-02-02","13:45:00",45,"Review",NA,2023-02-02 13:00:00,2023-02-02 13:45:00,"Review"
"93",NA,"Yes","2023-02-02","13:45:00","2023-02-02","14:00:00",15,"Admin",NA,2023-02-02 13:45:00,2023-02-02 14:00:00,"Proj Manage"
"94",NA,"Yes","2023-02-02","14:07:28","2023-02-02","14:28:51",21.3833333333333,"Admin",NA,2023-02-02 14:07:28,2023-02-02 14:28:51,"Proj Manage"
"95",NA,"Yes","2023-02-02","14:27:00","2023-02-02","14:47:00",20,"Reading",NA,2023-02-02 14:27:00,2023-02-02 14:47:00,"Sci Writing"
"96",NA,"Yes","2023-02-02","14:44:28","2023-02-02","15:04:28",20,"Reading",NA,2023-02-02 14:44:28,2023-02-02 15:04:28,"Sci Writing"
"97",NA,"Yes","2023-02-03","10:30:00","2023-02-03","11:00:00",30,"Supervision",NA,2023-02-03 10:30:00,2023-02-03 11:00:00,"Sci Writing"
"98",NA,"Yes","2023-02-03","14:00:00","2023-02-03","14:15:00",15,"Admin",NA,2023-02-03 14:00:00,2023-02-03 14:15:00,"Proj Manage"
"99",NA,"Yes","2023-02-06","07:45:00","2023-02-06","08:30:00",45,"Code,R Studio",NA,2023-02-06 07:45:00,2023-02-06 08:30:00,"AI / Deep Learning"
"100",NA,"Yes","2023-02-06","07:45:00","2023-02-06","08:30:00",45,"Code,R Studio",NA,2023-02-06 07:45:00,2023-02-06 08:30:00,"Data Explore/Visualisation"
"101",NA,"Yes","2023-02-06","08:19:21","2023-02-06","09:30:00",70.65,"Code,R Studio",NA,2023-02-06 08:19:21,2023-02-06 09:30:00,"AI / Deep Learning"
"102",NA,"Yes","2023-02-06","08:19:21","2023-02-06","09:30:00",70.65,"Code,R Studio",NA,2023-02-06 08:19:21,2023-02-06 09:30:00,"Data Explore/Visualisation"
"103",NA,"Yes","2023-02-06","10:00:00","2023-02-06","10:15:00",15,"Admin",NA,2023-02-06 10:00:00,2023-02-06 10:15:00,"Proj Manage"
"104",NA,"Yes","2023-02-06","13:00:00","2023-02-06","13:30:00",30,"Admin,Project Management",NA,2023-02-06 13:00:00,2023-02-06 13:30:00,"Proj Manage"
"105",NA,"Yes","2023-02-06","13:00:00","2023-02-06","13:30:00",30,"Admin,Project Management",NA,2023-02-06 13:00:00,2023-02-06 13:30:00,"Proj Manage"
"106",NA,"Yes","2023-02-06","13:30:00","2023-02-06","14:00:00",30,"Project Management",NA,2023-02-06 13:30:00,2023-02-06 14:00:00,"Proj Manage"
"107",NA,"Yes","2023-02-07","08:15:00","2023-02-07","08:30:00",15,"Code,R Studio",NA,2023-02-07 08:15:00,2023-02-07 08:30:00,"AI / Deep Learning"
"108",NA,"Yes","2023-02-07","08:15:00","2023-02-07","08:30:00",15,"Code,R Studio",NA,2023-02-07 08:15:00,2023-02-07 08:30:00,"Data Explore/Visualisation"
"109",NA,"Yes","2023-02-07","08:30:50","2023-02-07","09:19:06",48.2666666666667,"Code,R Studio",NA,2023-02-07 08:30:50,2023-02-07 09:19:06,"AI / Deep Learning"
"110",NA,"Yes","2023-02-07","08:30:50","2023-02-07","09:19:06",48.2666666666667,"Code,R Studio",NA,2023-02-07 08:30:50,2023-02-07 09:19:06,"Data Explore/Visualisation"
"111",NA,"Yes","2023-02-07","09:15:00","2023-02-07","10:15:00",60,"Admin,Emails",NA,2023-02-07 09:15:00,2023-02-07 10:15:00,"Proj Manage"
"112",NA,"Yes","2023-02-07","09:15:00","2023-02-07","10:15:00",60,"Admin,Emails",NA,2023-02-07 09:15:00,2023-02-07 10:15:00,"Prod Manage"
"113",NA,"Yes","2023-02-07","13:15:00","2023-02-07","14:30:00",75,"Meetings,Project Management",NA,2023-02-07 13:15:00,2023-02-07 14:30:00,"Prod Manage"
"114",NA,"Yes","2023-02-07","13:15:00","2023-02-07","14:30:00",75,"Meetings,Project Management",NA,2023-02-07 13:15:00,2023-02-07 14:30:00,"Proj Manage"
"115",NA,"Yes","2023-02-07","14:30:00","2023-02-07","15:30:00",60,"Admin",NA,2023-02-07 14:30:00,2023-02-07 15:30:00,"Proj Manage"
"116",NA,"Yes","2023-02-07","15:30:00","2023-02-07","15:45:00",15,"Supervision",NA,2023-02-07 15:30:00,2023-02-07 15:45:00,"Sci Writing"
"117",NA,"Yes","2023-02-08","08:30:00","2023-02-08","10:00:00",90,"Code,R Studio",NA,2023-02-08 08:30:00,2023-02-08 10:00:00,"AI / Deep Learning"
